,Names,Prices,Images,ratings,memory,Links
0,"POCO X7 5G (Cosmic Silver, 128 GB)","₹21,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/0/8/-original-imah8affzhf7zq2f.jpeg?q=70,4.4,8 GB RAM | 128 GB ROM,https://www.flipkart.com/poco-x7-5g-cosmic-silver-128-gb/p/itmdfee46549bede?pid=MOBH7YZ9GRVZTZYH&lid=LSTMOBH7YZ9GRVZTZYHHTSM13&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=en_KeRFvzdkwqbeBJWUSeBgLGrw2wXE6sMvtR1P6i_xv84Je6SWdO9cCGjHeQV169Gq-uG9O02kqeRYxu_ZQwO9d_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
1,"vivo T3 Lite 5G (Majestic Black, 128 GB)","₹10,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/l/3/-original-imah27wvna2g9hfc.jpeg?q=70,4.4,8 GB RAM | 128 GB ROM,https://www.flipkart.com/vivo-t3-lite-5g-majestic-black-128-gb/p/itm977c89a44d373?pid=MOBHFTYBDGMZMT9U&lid=LSTMOBHFTYBDGMZMT9UCVGQYK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=en_KeRFvzdkwqbeBJWUSeBgLGrw2wXE6sMvtR1P6i_xv84557jUoI5xIb3M_9aoscoJb-4-xJSpkABeIXQEJTJwZvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
2,"realme C63 5G Charger in the Box (Forest Green, 128 GB)","₹10,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/l/x/-original-imah3ngrk7cq5pky.jpeg?q=70,4.3,No memory information,https://www.flipkart.com/realme-c63-5g-charger-box-forest-green-128-gb/p/itm10b8f5cccfadd?pid=MOBH3DZQ47HPXFCH&lid=LSTMOBH3DZQ47HPXFCHWZ7UHH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBH3DZQ47HPXFCH.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
3,"realme C63 5G Charger in the Box (Starry Gold, 128 GB)","₹11,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/s/l/c63-5g-rmx3950-realme-original-imah3nghsdzk8qag.jpeg?q=70,4.5,No memory information,https://www.flipkart.com/realme-c63-5g-charger-box-starry-gold-128-gb/p/itm10b8f5cccfadd?pid=MOBH3DZQ9G3WGQYY&lid=LSTMOBH3DZQ9G3WGQYYMHSNLX&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBH3DZQ9G3WGQYY.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
4,"realme C63 5G Charger in the Box (Forest Green, 128 GB)","₹12,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/l/x/-original-imah3ngrk7cq5pky.jpeg?q=70,4.4,No memory information,https://www.flipkart.com/realme-c63-5g-charger-box-forest-green-128-gb/p/itm10b8f5cccfadd?pid=MOBH3DZQ3GCQEYUC&lid=LSTMOBH3DZQ3GCQEYUCLNXQPP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBH3DZQ3GCQEYUC.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
5,"vivo T3 Pro 5G (Emerald Green, 256 GB)","₹24,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/f/o/-original-imah924rz8zzkr3y.jpeg?q=70,4.5,No memory information,https://www.flipkart.com/vivo-t3-pro-5g-emerald-green-256-gb/p/itmcf52c1fcffbf3?pid=MOBH3XHRUQMKBEZX&lid=LSTMOBH3XHRUQMKBEZXUBLAII&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=en_KeRFvzdkwqbeBJWUSeBgLGrw2wXE6sMvtR1P6i_xv858y7ZV20G_BOHqvanMo4sCd7uBwhTW3r1xrO15x2WdH33Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
6,"realme C63 5G Charger in the Box (Starry Gold, 128 GB)","₹12,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/s/l/c63-5g-rmx3950-realme-original-imah3nghsdzk8qag.jpeg?q=70,4.4,No memory information,https://www.flipkart.com/realme-c63-5g-charger-box-starry-gold-128-gb/p/itm10b8f5cccfadd?pid=MOBH3DZQHRGWZHTY&lid=LSTMOBH3DZQHRGWZHTYV8DX0D&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBH3DZQHRGWZHTY.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
7,"realme C61 (Safari Green, 128 GB)","₹8,199",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/f/e/c61-rmx3933-realme-original-imah28xetn5tfjw8.jpeg?q=70,4.4,No memory information,https://www.flipkart.com/realme-c61-safari-green-128-gb/p/itmd6ddbcefce040?pid=MOBHFRKRAVXUKDGX&lid=LSTMOBHFRKRAVXUKDGX3LF6Z6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBHFRKRAVXUKDGX.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
8,"realme C61 (Marble Black, 64 GB)","₹7,699",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/i/h/-original-imah28xphdtqgrzq.jpeg?q=70,4.3,No memory information,https://www.flipkart.com/realme-c61-marble-black-64-gb/p/itmd6ddbcefce040?pid=MOBHFRKRAHPWY9JA&lid=LSTMOBHFRKRAHPWY9JADLJL0N&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBHFRKRAHPWY9JA.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
9,"realme C63 5G Charger in the Box (Forest Green, 128 GB)","₹11,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/l/x/-original-imah3ngrk7cq5pky.jpeg?q=70,4.5,No memory information,https://www.flipkart.com/realme-c63-5g-charger-box-forest-green-128-gb/p/itm10b8f5cccfadd?pid=MOBH3DZQ4JE2GVAR&lid=LSTMOBH3DZQ4JE2GVARNDPH9F&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBH3DZQ4JE2GVAR.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
10,"POCO X7 5G (Glacier Green, 128 GB)","₹21,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/f/d/-original-imah8affbpgbg2hs.jpeg?q=70,4.4,No memory information,https://www.flipkart.com/poco-x7-5g-glacier-green-128-gb/p/itm982144570bc4d?pid=MOBH7YZ9QZJTXX4G&lid=LSTMOBH7YZ9QZJTXX4GJGX7WJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=en_KeRFvzdkwqbeBJWUSeBgLGrw2wXE6sMvtR1P6i_xv87v6ymDP2U8zcvUG_IVVk4VKiZeg3MzPQenx_6JUSy-jOvN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
11,"POCO X7 5G (Yellow, 128 GB)","₹21,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/l/l/-original-imah8affprjgyruz.jpeg?q=70,4.4,No memory information,https://www.flipkart.com/poco-x7-5g-yellow-128-gb/p/itm09a41b8f384f7?pid=MOBH7YZ92V9ZTCPB&lid=LSTMOBH7YZ92V9ZTCPBBC876R&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=en_KeRFvzdkwqbeBJWUSeBgLGrw2wXE6sMvtR1P6i_xv86JIhzqKMh8RQI9ja2OIsrzwGstCrHSc9RRwYW-GlEFk2aRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
12,"realme P1 5G (Peacock Green, 128 GB)","₹14,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/b/p/-original-imahyaaxcyggzrrt.jpeg?q=70,4.4,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,https://www.flipkart.com/realme-p1-5g-peacock-green-128-gb/p/itmae4447062b5b5?pid=MOBGZSU4HH7YZW6D&lid=LSTMOBGZSU4HH7YZW6DCKAPTF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBGZSU4HH7YZW6D.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
13,"realme P1 5G (Phoenix Red, 128 GB)","₹13,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/z/4/-original-imahyaaxytqbnzfh.jpeg?q=70,4.4,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,https://www.flipkart.com/realme-p1-5g-phoenix-red-128-gb/p/itmae4447062b5b5?pid=MOBGYQ6BXSENZRV3&lid=LSTMOBGYQ6BXSENZRV3XKXGCB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBGYQ6BXSENZRV3.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
14,"realme C61 (Marble Black, 128 GB)","₹8,199",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/i/h/-original-imah28xphdtqgrzq.jpeg?q=70,4.4,No memory information,https://www.flipkart.com/realme-c61-marble-black-128-gb/p/itmd6ddbcefce040?pid=MOBHFRKRQMD36FZ5&lid=LSTMOBHFRKRQMD36FZ5ZLCIIC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBHFRKRQMD36FZ5.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
15,"realme C63 5G Charger in the Box (Starry Gold, 128 GB)","₹10,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/s/l/c63-5g-rmx3950-realme-original-imah3nghsdzk8qag.jpeg?q=70,4.3,No memory information,https://www.flipkart.com/realme-c63-5g-charger-box-starry-gold-128-gb/p/itm10b8f5cccfadd?pid=MOBH3DZQ2RX2QWPH&lid=LSTMOBH3DZQ2RX2QWPHOALSEN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBH3DZQ2RX2QWPH.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
16,"SAMSUNG Galaxy S25 5G (Icyblue, 256 GB)","₹80,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/b/8/-original-imah8pdgvxdznyes.jpeg?q=70,5.0,No memory information,https://www.flipkart.com/samsung-galaxy-s25-5g-icyblue-256-gb/p/itm859ebd4b08d31?pid=MOBH8K8UA9ZHYYXG&lid=LSTMOBH8K8UA9ZHYYXGQKCNAJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=en_KeRFvzdkwqbeBJWUSeBgLGrw2wXE6sMvtR1P6i_xv86XWP2IdcO3zv82w0t2BbHCdgp1VttHP7bvziEEQUHMxq8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
17,"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,29,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/5/e/h/-original-imah8pdna7nzdqxg.jpeg?q=70,4.6,No memory information,https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-gray-256-gb/p/itmc267de29a3b0b?pid=MOBH8K8U7F5FKSXA&lid=LSTMOBH8K8U7F5FKSXAGU1LLH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=en_KeRFvzdkwqbeBJWUSeBgLGrw2wXE6sMvtR1P6i_xv874B9Xy5cfG1MTDjkjIt-EjLCdYUrAebc6qa3eCfH6nA_KSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
18,"realme C61 (Safari Green, 64 GB)","₹7,699",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/f/e/c61-rmx3933-realme-original-imah28xetn5tfjw8.jpeg?q=70,4.3,No memory information,https://www.flipkart.com/realme-c61-safari-green-64-gb/p/itmd6ddbcefce040?pid=MOBHFRKRF6ZHBFTW&lid=LSTMOBHFRKRF6ZHBFTWCWTV1O&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBHFRKRF6ZHBFTW.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
19,"realme Narzo N61 (Voyage Blue, 64 GB)","₹7,027",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/k/x/narzo-n61-narzo-n61-realme-original-imah4ffg7bhkzbqv.jpeg?q=70,4.3,No memory information,https://www.flipkart.com/realme-narzo-n61-voyage-blue-64-gb/p/itm0ffee8689770b?pid=MOBH39BEEVQNSUGJ&lid=LSTMOBH39BEEVQNSUGJVR6MMK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=5fb72743-177f-4e92-8b81-b5ef3212f6d8.MOBH39BEEVQNSUGJ.SEARCH&ppt=None&ppn=None&ssid=bh7nv3opj40000001738583993505
